title,image_url,link_url,link_type,platform_name,RT,Fav,Total,Type
INF RANGE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/infrange/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?infrange,play,browser,13,19,32,One-button
LIGHT DARK,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/lightdark/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?lightdark,play,browser,13,29,42,One-button
HOPPING P,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/hoppingp/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?hoppingp,play,browser,11,47,58,One-button
SNAKE 1,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/snake1/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?snake1,play,browser,8,22,30,One-button
PRESS M,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/pressm/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?pressm,play,browser,26,62,88,Slide
GRAVELER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/graveler/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?graveler,play,browser,28,64,92,One-button
TWIN P,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/twinp/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?twinp,play,browser,15,40,55,One-button
TOTOGE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/totoge/screenshot.gif ,https://abagames.github.io/crisp-game-lib-games/?totoge,play,browser,10,41,51,One-button
HIT BLOW UP,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/hitblowup/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?hitblowup,play,browser,1,11,12,Tap
SLASHES,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/slashes/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?slashes,play,browser,8,28,36,One-button
CATE P,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/catep/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?catep,play,browser,18,44,62,One-button
FLOORS 5,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/floors5/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?floors5,play,browser,14,33,47,One-button
SHINY,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/shiny/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?shiny,play,browser,13,39,52,One-button
CARD Q,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/cardq/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?cardq,play,browser,92,198,290,Tap
GRENADIER,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/grenadier/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?grenadier,play,browser,15,51,66,One-button
FIND A STAR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/findastar/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?findastar,play,browser,10,31,41,Tap
ROLLNROPE,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/rollnrope/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?rollnrope,play,browser,5,18,23,One-button
DIVARR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/divarr/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?divarr,play,browser,6,21,27,One-button
EAROCK,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/earock/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?earock,play,browser,9,17,26,One-button
SPEARAIN,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/spearain/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?spearain ,play,browser,8,28,36,One-button
BAROLL,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/baroll/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?baroll,play,browser,17,27,44,One-button
FORFOUR,https://github.com/abagames/crisp-game-lib-games/raw/main/docs/forfour/screenshot.gif,https://abagames.github.io/crisp-game-lib-games/?forfour,play,browser,20,42,62,One-button
